Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2009, TEX, AL, 145, 541, 480, 72, 128, 17, 8, 6, 40, 40, 77, 33, 6, 6, .267, .329, .373, .702, 541, 179, 172, 12, 3, .305, 31, 4, 60, 2056, 3.800, .142, .011, .519, .106, .106, 0
2010, TEX, AL, 148, 674, 588, 88, 156, 15, 3, 0, 35, 64, 96, 32, 15, 5, .265, .342, .301, .643, 674, 177, 178, 17, 0, .317, 18, 6, 73, 2713, 4.025, .142, .000, .667, .036, .036, 1
2011, TEX, AL, 150, 665, 587, 96, 164, 27, 3, 5, 60, 56, 74, 37, 12, 5, .279, .347, .361, .708, 665, 212, 241, 16, 1, .312, 35, 17, 100, 2489, 3.743, .111, .008, .757, .082, .082, 1
2012, TEX, AL, 158, 711, 629, 85, 180, 31, 9, 3, 62, 57, 96, 21, 10, 5, .286, .349, .378, .727, 711, 238, 200, 17, 3, .332, 43, 15, 88, 2778, 3.907, .135, .004, .594, .092, .092, 1
2013, TEX, AL, 156, 698, 620, 91, 168, 17, 4, 4, 67, 52, 97, 42, 8, 4, .271, .328, .331, .659, 698, 205, 256, 16, 6, .312, 25, 19, 105, 2780, 3.983, .139, .006, .536, .060, .060, 1
2014, TEX, AL, 157, 685, 619, 72, 163, 35, 1, 2, 41, 46, 96, 27, 15, 3, .263, .314, .333, .647, 685, 206, 223, 9, 7, .305, 38, 21, 105, 2736, 3.994, .140, .003, .479, .069, .069, 0
2015, TEX, AL, 160, 661, 596, 69, 154, 34, 2, 7, 62, 46, 78, 25, 9, 2, .258, .309, .357, .667, 661, 213, 250, 8, 9, .283, 43, 14, 111, 2444, 3.697, .118, .011, .590, .099, .099, 0
2016, TEX, AL, 147, 568, 506, 75, 153, 31, 7, 8, 69, 47, 70, 24, 8, 4, .302, .362, .439, .800, 568, 222, 192, 4, 7, .333, 46, 18, 80, 2083, 3.667, .123, .014, .671, .136, .136, 0
2017, TEX, AL, 158, 689, 643, 100, 191, 44, 4, 20, 88, 38, 101, 25, 10, 3, .297, .337, .471, .808, 689, 303, 234, 1, 4, .325, 68, 18, 118, 2547, 3.697, .147, .029, .376, .174, .174, 1
2018, TEX, AL, 97, 428, 395, 53, 101, 20, 3, 6, 33, 28, 66, 5, 3, 3, .256, .308, .367, .675, 428, 145, 173, 0, 2, .292, 29, 8, 65, 1627, 3.801, .154, .014, .424, .111, .111, 0
2019, TEX, AL, 147, 648, 600, 81, 165, 27, 4, 12, 72, 34, 96, 31, 8, 4, .275, .313, .393, .707, 648, 236, 242, 0, 10, .305, 43, 16, 106, 2528, 3.901, .148, .019, .354, .118, .118, 0
2020, TEX, AL, 28, 108, 100, 10, 19, 5, 0, 3, 7, 8, 15, 3, 1, 0, .190, .250, .330, .580, 108, 33, 43, 0, 0, .195, 8, 5, 11, 402, 3.722, .139, .028, .533, .140, .140, 0
12 Seasons, 1650, 7072, 6359, 891, 1740, 303, 48, 75, 635, 516, 961, 305, 105, 44, .274, .330, .372, .702, 7072, 2364, 2402, 100, 52, .310, 426, 161, 1022, 27171, 3.842, .136, .011, .537, .098, .098, 5
