2005, SEA, AL, 10, 21, 18, 1, 1, 0, 0, 0, 1, 3, 4, 0, 0, 0, .056, .190, .056, .246, 
2006, 2 Teams, 49, 179, 157, 23, 44, 12, 3, 3, 22, 18, 50, 5, 3, 2, .280, .360, .452, .812, 
2006, SEA, AL, 4, 12, 11, 0, 1, 1, 0, 0, 0, 0, 4, 0, 0, 1, .091, .167, .182, .348, 
2006, CLE, AL, 45, 167, 146, 23, 43, 11, 3, 3, 22, 18, 46, 5, 3, 1, .295, .373, .473, .846, 
2007, CLE, AL, 6, 20, 17, 5, 5, 0, 0, 0, 5, 2, 5, 0, 1, 0, .294, .350, .294, .644, 
2008, CLE, AL, 94, 370, 317, 68, 98, 28, 3, 14, 66, 44, 78, 4, 3, 5, .309, .397, .549, .946, 
2009, CLE, AL, 156, 685, 583, 87, 175, 38, 6, 20, 86, 78, 151, 21, 2, 17, .300, .394, .489, .883, 
2010, CLE, AL, 144, 646, 550, 81, 165, 31, 2, 22, 90, 83, 118, 22, 7, 11, .300, .401, .484, .885, 
2011, CLE, AL, 85, 358, 313, 37, 81, 11, 3, 8, 36, 36, 78, 12, 5, 6, .259, .344, .390, .733, 
2012, CLE, AL, 155, 686, 598, 88, 169, 43, 2, 16, 67, 73, 150, 21, 7, 14, .283, .373, .441, .815, 
2013, CIN, NL, 154, 712, 569, 107, 162, 34, 2, 21, 54, 112, 133, 20, 11, 26, .285, .423, .462, .885, 
2014, TEX, AL, 123, 529, 455, 58, 110, 19, 1, 13, 40, 58, 131, 3, 4, 12, .242, .340, .374, .714, 
2015, TEX, AL, 149, 653, 555, 94, 153, 32, 3, 22, 82, 76, 147, 4, 2, 15, .276, .375, .463, .838, 
2016, TEX, AL, 48, 210, 178, 27, 43, 7, 0, 7, 17, 25, 46, 6, 3, 7, .242, .357, .399, .756, 
2017, TEX, AL, 149, 636, 544, 96, 142, 20, 1, 22, 78, 77, 134, 12, 3, 7, .261, .357, .423, .780, 
2018, TEX, AL, 146, 665, 560, 83, 148, 30, 1, 21, 62, 92, 156, 6, 1, 10, .264, .377, .434, .810, 
2019, TEX, AL, 151, 660, 563, 93, 149, 31, 2, 24, 61, 78, 165, 15, 1, 18, .265, .371, .455, .826, 
2020, TEX, AL, 27, 109, 94, 10, 19, 3, 0, 3, 13, 11, 29, 5, 2, 2, .202, .294, .330, .623, 
16 Seasons, 1646, 7139, 6071, 958, 1664, 339, 29, 216, 780, 866, 1575, 156, 55, 152, .274, .376, .446, .822, 
2005, SEA, AL, 21, 1, 14, 0, 0, .071, 0, 0, 1, 90, 4.286, .190, .000, .750, .000, .000, 0, 
2006, 2 Teams, 179, 71, 88, 1, 1, .390, 18, 3, 20, 714, 3.989, .279, .017, .360, .172, .172, 0, 
2006, SEA, AL, 12, 2, 4, 0, 0, .143, 1, 1, 2, 35, 2.917, .333, .000, .---, .091, .091, 0, 
2006, CLE, AL, 167, 69, 84, 1, 1, .408, 17, 2, 18, 679, 4.066, .275, .018, .391, .178, .178, 0, 
2007, CLE, AL, 20, 5, 5, 0, 1, .385, 0, 0, 5, 73, 3.650, .250, .000, .400, .000, .000, 0, 
2008, CLE, AL, 370, 174, 122, 0, 4, .367, 45, 5, 52, 1424, 3.849, .211, .038, .564, .240, .240, 0, 
2009, CLE, AL, 685, 285, 264, 0, 7, .370, 64, 9, 83, 2785, 4.066, .220, .029, .517, .189, .189, 1, 
2010, CLE, AL, 646, 266, 215, 0, 2, .347, 55, 11, 90, 2537, 3.927, .183, .034, .703, .184, .184, 0, 
2011, CLE, AL, 358, 122, 131, 0, 3, .317, 22, 7, 47, 1399, 3.908, .218, .022, .462, .131, .131, 1, 
2012, CLE, AL, 686, 264, 216, 0, 1, .353, 61, 10, 58, 2811, 4.098, .219, .023, .487, .159, .159, 0, 
2013, CIN, NL, 712, 263, 161, 3, 2, .338, 57, 3, 50, 3010, 4.228, .187, .029, .842, .178, .178, 3, 
2014, TEX, AL, 529, 170, 131, 0, 4, .308, 33, 9, 44, 2155, 4.074, .248, .025, .443, .132, .132, 1, 
2015, TEX, AL, 653, 257, 194, 2, 5, .335, 57, 7, 72, 2606, 3.991, .225, .034, .517, .187, .187, 1, 
2016, TEX, AL, 210, 71, 47, 0, 0, .288, 14, 1, 21, 848, 4.038, .219, .033, .543, .157, .157, 0, 
2017, TEX, AL, 636, 230, 190, 3, 5, .305, 43, 18, 95, 2545, 4.002, .211, .035, .575, .162, .162, 0, 
2018, TEX, AL, 665, 243, 197, 1, 2, .330, 52, 11, 69, 2770, 4.165, .235, .032, .590, .170, .170, 1, 
2019, TEX, AL, 660, 256, 180, 0, 1, .333, 57, 6, 56, 2707, 4.102, .250, .036, .473, .190, .190, 0, 
2020, TEX, AL, 109, 31, 29, 0, 2, .250, 6, 1, 9, 441, 4.046, .266, .028, .379, .128, .128, 0, 
7139, 2709, 2184, 10, 40, .335, 584, 101, 772, 28915, 4.050, .221, .030, .550, .172, .172, 8, 
