name, url
Elvis Andrus, https://www.mlb.com/player/462101
Todd Frazier, https://www.mlb.com/player/453943
Joey Gallo, https://www.mlb.com/player/608336
Nick Solak, https://www.mlb.com/player/669256
Isiah Kiner-Falefa, https://www.mlb.com/player/643396
Shin-Soo Choo, https://www.mlb.com/player/425783
Rougned Odor, https://www.mlb.com/player/596059
Willie Calhoun, https://www.mlb.com/player/641432
Robinson Chirinos, https://www.mlb.com/player/455139
Scott Heineman, https://www.mlb.com/player/595981
Rob Refsnyder, https://www.mlb.com/player/608701
Danny Santana, https://www.mlb.com/player/542454
Jeff Mathis, https://www.mlb.com/player/425772
Anderson Tejeda, https://www.mlb.com/player/660731
Adolis Garcia, https://www.mlb.com/player/666969
Ronald Guzman, https://www.mlb.com/player/608597
Jose Trevino, https://www.mlb.com/player/624431
Leody Taveras, https://www.mlb.com/player/665750
