2014, SF, NL, 73, 287, 269, 31, 82, 10, 2, 1, 18, 16, 33, 0, 0, 0, .305, .343, .368, .711, 287, 99, 109, 1, 1, .343, 13, 4, 44, 1099, 3.829, .115, .003, .485, .063, .063, 0, 
2015, SF, NL, 100, 432, 382, 59, 119, 27, 2, 8, 37, 38, 42, 3, 2, 5, .312, .378, .455, .833, 432, 174, 162, 3, 4, .330, 37, 7, 83, 1592, 3.685, .097, .019, .905, .144, .144, 2, 
2016, SF, NL, 127, 526, 464, 67, 111, 21, 7, 10, 62, 50, 47, 5, 0, 4, .239, .315, .379, .695, 526, 176, 200, 3, 5, .245, 38, 14, 106, 1978, 3.760, .089, .019, 1.064, .140, .140, 0, 
2017, SF, NL, 138, 573, 511, 60, 147, 28, 5, 10, 53, 46, 54, 4, 1, 5, .288, .347, .421, .768, 573, 215, 165, 3, 8, .301, 43, 10, 75, 2182, 3.808, .094, .017, .852, .133, .133, 0, 
2018, SF, NL, 102, 392, 358, 38, 91, 14, 1, 4, 24, 26, 30, 4, 2, 3, .254, .307, .332, .639, 392, 119, 129, 1, 4, .265, 19, 10, 57, 1488, 3.796, .077, .010, .867, .078, .078, 0, 
2019, 2 Teams, 142, 491, 438, 50, 107, 21, 2, 5, 39, 43, 47, 4, 2, 4, .244, .315, .336, .650, 147, 176, 2, 4, .262, 1877, 
2019, NYM, NL, 39, 103, 94, 17, 26, 4, 1, 2, 12, 7, 9, 0, 0, 1, .277, .333, .404, .738, 103, 38, 40, 1, 0, .289, 7, 1, 20, 410, 3.981, .087, .019, .778, .128, .128, 0, 
2019, SF, NL, 103, 388, 344, 33, 81, 17, 1, 3, 27, 36, 38, 4, 2, 3, .235, .310, .317, .627, 388, 109, 136, 1, 4, .254, 21, 5, 39, 1467, 3.781, .098, .008, .947, .081, .081, 1, 
2020, TOR, AL, 26, 86, 74, 10, 20, 5, 0, 0, 5, 12, 16, 0, 0, 0, .270, .372, .338, .710, 86, 25, 28, 0, 0, .345, 5, 4, 12, 309, 3.593, .186, .000, .750, .068, .068, 0, 
7 Seasons, 708, 2787, 2496, 315, 677, 126, 19, 38, 238, 231, 269, 20, 7, 21, .271, .335, .383, .718, 2787, 955, 969, 13, 26, .288, 183, 55, 436, 10525, 3.776, .097, .014, .859, .111, .111, 3, 
