2013, HOU, AL, 58, 241, 210, 26, 51, 9, 2, 1, 8, 24, 71, 18, 8, 0, .243, .321, .319, .640, 241, 67, 68, 7, 0, .362, 12, 5, 24, 949, 3.938, .295, .004, .338, .076, .076, 1, 
2014, HOU, AL, 87, 289, 263, 31, 55, 13, 2, 7, 27, 19, 80, 17, 4, 2, .209, .267, .354, .620, 289, 93, 117, 4, 1, .271, 22, 4, 32, 1070, 3.702, .277, .024, .238, .144, .144, 0, 
2015, HOU, AL, 53, 128, 116, 18, 33, 7, 1, 2, 11, 10, 29, 7, 2, 0, .284, .339, .414, .752, 128, 48, 36, 1, 1, .360, 10, 3, 19, 501, 3.914, .227, .016, .345, .129, .129, 0, 
2016, MIL, NL, 156, 679, 589, 92, 168, 38, 3, 19, 63, 79, 174, 62, 18, 2, .285, .369, .457, .826, 679, 269, 188, 5, 4, .373, 60, 7, 48, 2831, 4.169, .256, .028, .454, .171, .171, 1, 
2017, MIL, NL, 122, 436, 403, 49, 97, 18, 1, 11, 40, 30, 132, 23, 8, 0, .241, .293, .372, .665, 436, 150, 128, 2, 1, .330, 30, 4, 44, 1765, 4.048, .303, .025, .227, .132, .132, 0, 
2018, 2 Teams, 141, 515, 466, 54, 121, 14, 1, 14, 46, 41, 138, 35, 5, 5, .260, .325, .384, .709, 179, 164, 1, 2, .339, 29, 13, 56, 2178, 4.229, .268, .027, .297, .124, .124, 0, 
2018, MIL, NL, 87, 279, 257, 26, 67, 10, 1, 6, 22, 19, 80, 14, 2, 2, .261, .315, .377, .693, 279, 97, 96, 0, 1, .355, 17, 9, 29, 1178, 4.222, .287, .022, .238, .117, .117, 0, 
2018, BAL, AL, 54, 236, 209, 28, 54, 4, 0, 8, 24, 22, 58, 21, 3, 3, .258, .336, .392, .729, 236, 82, 68, 1, 1, .319, 12, 4, 27, 1000, 4.237, .246, .034, .379, .134, .134, 0, 
2019, BAL, AL, 162, 714, 642, 111, 176, 33, 5, 24, 73, 61, 176, 40, 9, 4, .274, .339, .453, .792, 714, 291, 241, 2, 4, .341, 62, 8, 81, 2843, 3.982, .246, .034, .347, .179, .179, 0, 
2020, 2 Teams, 38, 161, 144, 11, 35, 4, 0, 2, 11, 15, 39, 9, 5, 0, .243, .313, .313, .625, 45, 69, 1, 1, .317, 624, 
2020, TOR, AL, 8, 33, 28, 1, 5, 0, 0, 0, 2, 5, 7, 0, 0, 0, .179, .303, .179, .482, 33, 5, 14, 0, 0, .238, 0, 0, 3, 136, 4.121, .212, .000, .714, .000, .000, 0, 
2020, MIA, NL, 30, 128, 116, 10, 30, 4, 0, 2, 9, 10, 32, 9, 5, 0, .259, .315, .345, .660, 128, 40, 55, 1, 1, .337, 6, 2, 12, 488, 3.813, .250, .016, .313, .086, .086, 0, 
8 Seasons, 817, 3163, 2833, 392, 736, 136, 15, 80, 279, 279, 839, 211, 59, 13, .260, .327, .403, .731, 3163, 1142, 1011, 23, 14, .340, 231, 46, 319, 12761, 4.034, .265, .025, .333, .143, .143, 2, 
