Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2007, CLE, AL, 45, 186, 159, 30, 45, 9, 2, 3, 22, 17, 29, 0, 0, 2, .283, .354, .421, .775, 67, 73, 5, 3, .323, 14, 7, 38, 710, 3.817, .156, .016, .586, .138, .138, 0
2008, CLE, AL, 114, 418, 352, 48, 91, 20, 0, 6, 47, 46, 77, 4, 4, 4, .259, .346, .366, .713, 129, 163, 11, 5, .310, 26, 8, 63, 1592, 3.809, .184, .014, .597, .108, .108, 1
2009, CLE, AL, 131, 581, 523, 81, 161, 42, 4, 6, 68, 44, 89, 17, 4, 1, .308, .361, .438, .799, 229, 190, 10, 3, .360, 52, 13, 99, 2270, 3.907, .153, .010, .494, .130, .130, 1
2010, CLE, AL, 97, 425, 381, 39, 105, 16, 1, 3, 29, 25, 60, 6, 4, 5, .276, .326, .346, .673, 132, 125, 11, 3, .318, 20, 10, 66, 1558, 3.666, .141, .007, .417, .071, .071, 2
2011, CLE, AL, 151, 667, 604, 87, 165, 32, 3, 25, 92, 44, 119, 17, 5, 11, .273, .332, .460, .792, 278, 209, 4, 4, .302, 60, 10, 87, 2516, 3.772, .178, .037, .370, .187, .187, 0
2012, CLE, AL, 143, 616, 555, 70, 150, 35, 1, 16, 68, 52, 99, 9, 4, 6, .270, .338, .423, .762, 235, 221, 1, 2, .303, 52, 18, 97, 2279, 3.700, .161, .026, .525, .153, .153, 2
2013, CLE, AL, 136, 562, 508, 66, 123, 35, 2, 14, 64, 35, 114, 9, 3, 8, .242, .299, .402, .700, 204, 241, 6, 5, .283, 51, 10, 83, 2163, 3.849, .203, .025, .307, .159, .159, 0
2014, 2 Teams, 146, 616, 553, 74, 133, 31, 4, 14, 61, 49, 108, 10, 2, 7, .241, .307, .387, .694, 248, 1, 6, .272, 49, 15, 89, 2274, 3.692, .175, .023, .454, .146, .146, 2
2014, CLE, AL, 97, 416, 378, 54, 93, 22, 2, 9, 40, 27, 79, 7, 2, 7, .246, .305, .386, .692, 146, 179, 0, 4, .286, 33, 11, 56, 1535, 3.690, .190, .022, .342, .140, .140, 2
2014, WSH, NL, 49, 200, 175, 20, 40, 9, 2, 5, 21, 22, 29, 3, 0, 0, .229, .312, .389, .700, 68, 69, 1, 2, .245, 16, 4, 33, 739, 3.695, .145, .025, .759, .160, .160, 0
2015, TB, AL, 143, 551, 505, 66, 134, 28, 5, 15, 58, 36, 107, 6, 3, 3, .265, .315, .430, .744, 217, 234, 1, 6, .306, 48, 14, 83, 2067, 3.751, .194, .027, .336, .164, .164, 0
2016, NYM, NL, 141, 568, 521, 65, 146, 30, 1, 23, 62, 38, 103, 5, 1, 7, .280, .336, .474, .810, 247, 205, 0, 2, .310, 54, 14, 90, 2082, 3.665, .181, .040, .369, .194, .194, 1
2017, NYM, NL, 135, 540, 479, 66, 134, 32, 0, 14, 59, 50, 83, 3, 2, 5, .280, .351, .434, .785, 208, 186, 1, 5, .310, 46, 19, 87, 2062, 3.819, .154, .026, .602, .154, .154, 0
2018, 2 Teams, 147, 592, 546, 68, 143, 36, 1, 23, 75, 41, 119, 0, 0, 3, .262, .316, .458, .774, 203, 0, 2, .296, 60, 16, 96, 2232, 3.770, .201, .039, .345, .196, .196, 1
2018, NYM, NL, 98, 407, 375, 48, 104, 23, 1, 18, 58, 29, 81, 0, 0, 1, .277, .329, .488, .817, 183, 140, 0, 2, .309, 42, 12, 69, 1566, 3.848, .199, .044, .358, .211, .211, 0
2018, PHI, NL, 49, 185, 171, 20, 39, 13, 0, 5, 17, 12, 38, 0, 0, 2, .228, .286, .392, .678, 67, 63, 0, 0, .266, 18, 4, 27, 666, 3.600, .205, .027, .316, .164, .164, 1
2019, 2 Teams, 131, 514, 447, 69, 116, 25, 1, 18, 91, 57, 103, 4, 0, 3, .260, .342, .441, .783, 212, 0, 7, .294, 2089
2019, WSH, NL, 38, 146, 124, 24, 40, 10, 1, 6, 40, 19, 18, 0, 0, 0, .323, .404, .565, .969, 70, 63, 0, 3, .330, 17, 3, 27, 572, 3.918, .123, .041, 1.056, .242, .242, 0
2019, TEX, AL, 93, 368, 323, 45, 76, 15, 0, 12, 51, 38, 85, 4, 0, 3, .235, .318, .393, .711, 127, 149, 0, 4, .278, 27, 6, 54, 1517, 4.122, .231, .033, .447, .158, .158, 0
2020, WSH, NL, 40, 167, 147, 15, 33, 5, 3, 5, 22, 16, 35, 0, 0, 0, .224, .293, .401, .695, 59, 70, 0, 4, .252, 13, 5, 26, 682, 4.084, .210, .030, .457, .177, .177, 0
14 Seasons, 1700, 7003, 6280, 844, 1679, 376, 28, 185, 818, 550, 1245, 90, 32, 65, .267, .330, .425, .754, 7003, 2666, 2580, 51, 57, .304, 589, 168, 1085, 26576, 3.795, .178, .026, .442, .157, .157, 10
