2007, ARI, NL, 11, 27, 23, 2, 5, 1, 0, 0, 2, 4, 3, 0, 1, 0, .217, .333, .261, .594, 27, 6, 3, 0, 0, .250, 1, 0, 0, 98, 3.630, .111, .000, 1.333, .043, .043, 0, 
2008, 2 Teams, 49, 186, 169, 29, 41, 6, 5, 0, 14, 14, 46, 7, 4, 0, .243, .296, .337, .633, 57, 59, 0, 3, .325, 11, 2, 18, 753, 4.048, .247, .000, .304, .095, .095, 0, 
2008, ARI, NL, 8, 12, 12, 3, 2, 1, 0, 0, 2, 0, 5, 1, 0, 0, .167, .167, .250, .417, 12, 3, 4, 0, 0, .286, 1, 0, 1, 57, 4.750, .417, .000, .---, .083, .083, 0, 
2008, WSH, NL, 41, 174, 157, 26, 39, 5, 5, 0, 12, 14, 41, 6, 4, 0, .248, .305, .344, .649, 174, 54, 55, 0, 3, .328, 10, 2, 17, 696, 4.000, .236, .000, .341, .096, .096, 0, 
2009, FLA, NL, 127, 509, 461, 72, 116, 11, 6, 1, 27, 34, 95, 21, 9, 2, .252, .303, .308, .611, 509, 142, 170, 8, 4, .312, 18, 5, 63, 1961, 3.853, .187, .002, .358, .056, .056, 0, 
2010, FLA, NL, 73, 201, 180, 30, 47, 6, 3, 0, 10, 17, 42, 12, 0, 0, .261, .320, .328, .648, 201, 59, 46, 1, 3, .333, 9, 1, 15, 821, 4.085, .209, .000, .405, .067, .067, 0, 
2011, FLA, NL, 152, 641, 565, 78, 167, 26, 7, 5, 36, 59, 129, 40, 11, 1, .296, .360, .393, .753, 641, 222, 186, 11, 5, .372, 38, 4, 57, 2582, 4.028, .201, .008, .457, .097, .097, 0, 
2012, MIA, NL, 64, 274, 244, 30, 63, 3, 4, 1, 11, 25, 52, 30, 3, 1, .258, .330, .316, .645, 274, 77, 86, 4, 0, .325, 8, 3, 38, 1163, 4.245, .190, .004, .481, .057, .057, 0, 
2013, 2 Teams, 136, 461, 420, 54, 102, 22, 3, 3, 31, 30, 103, 28, 8, 2, .243, .295, .331, .625, 139, 152, 6, 3, .312, 28, 4, 51, 1747, 3.790, .223, .007, .291, .088, .088, 0, 
2013, TOR, AL, 94, 282, 262, 33, 57, 16, 1, 3, 20, 13, 66, 12, 6, 2, .218, .258, .321, .579, 282, 84, 96, 3, 2, .277, 20, 3, 31, 1031, 3.656, .234, .011, .197, .103, .103, 0, 
2013, KC, AL, 42, 179, 158, 21, 45, 6, 2, 0, 11, 17, 37, 16, 2, 0, .285, .352, .348, .700, 179, 55, 56, 3, 1, .369, 8, 1, 20, 716, 4.000, .207, .000, .459, .063, .063, 0, 
2014, 2 Teams, 110, 426, 394, 47, 102, 17, 4, 3, 24, 26, 85, 26, 8, 0, .259, .305, .345, .650, 136, 98, 6, 0, .324, 24, 2, 31, 1692, 3.972, .200, .007, .306, .086, .086, 0, 
2014, CHC, NL, 69, 298, 276, 35, 77, 14, 3, 2, 18, 16, 49, 14, 6, 0, .279, .318, .373, .692, 298, 103, 65, 6, 0, .333, 19, 1, 21, 1149, 3.856, .164, .007, .327, .094, .094, 0, 
2014, ATL, NL, 41, 128, 118, 12, 25, 3, 1, 1, 6, 10, 36, 12, 2, 0, .212, .273, .280, .553, 128, 33, 33, 0, 0, .296, 5, 1, 10, 543, 4.242, .281, .008, .278, .068, .068, 0, 
2015, CWS, AL, 47, 82, 78, 5, 13, 2, 0, 0, 4, 2, 27, 1, 4, 1, .167, .198, .192, .390, 82, 15, 37, 1, 0, .255, 2, 1, 9, 310, 3.780, .329, .000, .074, .026, .026, 0, 
2016, ATL, NL, 24, 43, 38, 6, 8, 0, 0, 0, 3, 3, 12, 1, 0, 0, .211, .268, .211, .479, 43, 8, 9, 2, 0, .308, 0, 0, 6, 152, 3.535, .279, .000, .250, .000, .000, 0, 
2017, ATL, NL, 38, 44, 38, 2, 5, 1, 1, 0, 3, 1, 9, 0, 0, 0, .132, .150, .211, .361, 44, 8, 22, 4, 1, .167, 2, 1, 13, 159, 3.614, .205, .000, .111, .079, .079, 0, 
2020, WSH, NL, 3, 3, 3, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, .000, .000, .000, .000, 3, 0, 0, 0, 0, .000, 0, 0, 0, 14, 4.667, .667, .000, .---, .000, .000, 0, 
12 Seasons, 834, 2897, 2613, 356, 669, 95, 33, 13, 165, 215, 605, 166, 49, 7, .256, .312, .333, .645, 2897, 869, 868, 43, 19, .326, 141, 23, 301, 11452, 3.953, .209, .004, .355, .077, .077, 0, 
