2006, LAA, AL, 72, 283, 267, 25, 76, 21, 1, 4, 30, 9, 44, 6, 0, 4, .285, .314, .416, .730, 
2007, LAA, AL, 88, 353, 338, 55, 109, 24, 2, 5, 39, 9, 61, 5, 4, 4, .322, .347, .450, .796, 
2008, LAA, AL, 92, 361, 340, 43, 104, 26, 2, 3, 37, 12, 58, 11, 4, 4, .306, .333, .421, .754, 
2009, LAA, AL, 105, 400, 374, 61, 109, 21, 3, 10, 61, 20, 71, 11, 4, 4, .291, .334, .444, .778, 
2010, LAA, AL, 158, 658, 616, 67, 172, 41, 4, 10, 75, 28, 94, 14, 4, 5, .279, .313, .407, .721, 
2011, LAA, AL, 140, 583, 537, 86, 153, 30, 6, 18, 63, 33, 119, 14, 6, 10, .285, .338, .464, .802, 
2012, LAA, AL, 147, 594, 550, 57, 158, 32, 3, 8, 67, 29, 115, 14, 6, 4, .287, .325, .400, .725, 
2013, LAA, AL, 122, 513, 478, 55, 142, 21, 4, 13, 54, 23, 89, 6, 3, 6, .297, .335, .439, .775, 
2014, LAA, AL, 157, 674, 617, 85, 181, 33, 5, 7, 75, 48, 110, 14, 5, 4, .293, .347, .397, .744, 
2015, LAD, NL, 117, 495, 464, 64, 137, 22, 2, 9, 54, 27, 82, 6, 2, 2, .295, .336, .409, .746, 
2016, LAD, NL, 146, 543, 487, 65, 124, 26, 2, 8, 40, 50, 96, 10, 2, 3, .255, .326, .366, .691, 
2017, 2 Teams, 91, 334, 305, 40, 96, 16, 3, 9, 41, 22, 68, 12, 5, 5, .315, .368, .475, .844, 
2017, PHI, NL, 39, 156, 141, 16, 48, 8, 1, 2, 16, 11, 30, 8, 3, 3, .340, .397, .454, .851, 
2017, WSH, NL, 52, 178, 164, 24, 48, 8, 2, 7, 25, 11, 38, 4, 2, 2, .293, .343, .494, .837, 
2018, WSH, NL, 40, 160, 152, 17, 46, 14, 0, 4, 12, 5, 29, 1, 1, 2, .303, .331, .474, .805, 
2019, WSH, NL, 121, 370, 334, 61, 115, 23, 1, 17, 62, 27, 49, 2, 1, 4, .344, .395, .572, .966, 
2020, WSH, NL, 16, 61, 55, 9, 16, 2, 0, 1, 8, 4, 10, 0, 0, 0, .291, .328, .382, .710, 
15 Seasons, 1611, 6378, 5910, 790, 1737, 351, 38, 126, 717, 346, 1095, 126, 47, 61, .294, .337, .430, .768, 
2006, LAA, AL, 283, 111, 115, 0, 3, .324, 26, 5, 39, 934, 3.300, .155, .014, .205, .131, .131, 0, 
2007, LAA, AL, 353, 152, 146, 1, 1, .381, 31, 15, 68, 1154, 3.269, .173, .014, .148, .127, .127, 1, 
2008, LAA, AL, 361, 143, 135, 1, 4, .357, 31, 8, 65, 1257, 3.482, .161, .008, .207, .115, .115, 0, 
2009, LAA, AL, 400, 166, 162, 2, 0, .338, 34, 8, 60, 1540, 3.850, .178, .025, .282, .152, .152, 0, 
2010, LAA, AL, 658, 251, 223, 4, 5, .313, 55, 16, 103, 2424, 3.684, .143, .015, .298, .128, .128, 2, 
2011, LAA, AL, 583, 249, 203, 3, 0, .338, 54, 18, 71, 2313, 3.967, .204, .031, .277, .179, .179, 0, 
2012, LAA, AL, 594, 220, 230, 6, 5, .347, 43, 26, 88, 2153, 3.625, .194, .013, .252, .113, .113, 0, 
2013, LAA, AL, 513, 210, 209, 3, 3, .340, 38, 16, 80, 1925, 3.752, .173, .025, .258, .142, .142, 1, 
2014, LAA, AL, 674, 245, 250, 3, 2, .347, 45, 15, 94, 2510, 3.724, .163, .010, .436, .104, .104, 2, 
2015, LAD, NL, 495, 190, 161, 1, 1, .342, 33, 17, 76, 1863, 3.764, .166, .018, .329, .114, .114, 2, 
2016, LAD, NL, 543, 178, 191, 0, 3, .301, 36, 20, 80, 2069, 3.810, .177, .015, .521, .111, .111, 0, 
2017, 2 Teams, 334, 145, 106, 0, 2, .378, 28, 8, 48, 1310, 3.922, .204, .027, .324, .161, .161, 1, 
2017, PHI, NL, 156, 64, 53, 0, 1, .418, 11, 4, 23, 620, 3.974, .192, .013, .367, .113, .113, 0, 
2017, WSH, NL, 178, 81, 53, 0, 1, .342, 17, 4, 25, 690, 3.876, .213, .039, .289, .201, .201, 1, 
2018, WSH, NL, 160, 72, 65, 0, 1, .350, 18, 6, 28, 557, 3.481, .181, .025, .172, .171, .171, 0, 
2019, WSH, NL, 370, 191, 150, 0, 5, .359, 41, 11, 59, 1397, 3.776, .132, .046, .551, .228, .228, 0, 
2020, WSH, NL, 61, 21, 31, 0, 2, .326, 3, 2, 9, 237, 3.885, .164, .016, .400, .091, .091, 0, 
6378, 2542, 2372, 24, 37, .341, 515, 190, 966, 23631, 3.705, .172, .020, .316, .136, .136, 9, 
