Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, Season, Tm, LG, PA, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2007, OAK, AL, 68, 248, 213, 27, 53, 13, 0, 7, 39, 24, 39, 0, 0, 3, .249, .327, .408, .735, 248, 87, 104, 3, 5, .267, 20, 4, 42, 934, 3.766, .157, .028, .615, .160, .160, 2
2008, OAK, AL, 148, 588, 530, 54, 148, 25, 1, 7, 42, 44, 69, 2, 3, 11, .279, .346, .370, .716, 588, 196, 214, 2, 1, .310, 33, 20, 87, 2168, 3.687, .117, .012, .638, .091, .091, 3
2009, OAK, AL, 147, 614, 570, 74, 156, 37, 1, 15, 88, 28, 59, 8, 2, 8, .274, .313, .421, .734, 614, 240, 238, 1, 7, .280, 53, 14, 96, 2120, 3.453, .096, .024, .475, .147, .147, 1
2010, OAK, AL, 131, 544, 495, 55, 120, 18, 2, 13, 71, 33, 49, 3, 2, 12, .242, .303, .366, .669, 544, 181, 249, 0, 4, .245, 33, 22, 105, 1899, 3.491, .090, .024, .673, .123, .123, 2
2011, OAK, AL, 134, 515, 460, 54, 109, 26, 0, 14, 44, 38, 64, 2, 2, 7, .237, .301, .385, .686, 515, 177, 202, 3, 7, .244, 40, 14, 70, 2024, 3.930, .124, .027, .594, .148, .148, 0
2012, 2 Teams, 118, 442, 408, 36, 96, 20, 0, 6, 43, 20, 73, 2, 0, 5, .235, .276, .328, .605, 134, 178, 4, 5, .269, 26, 5, 59, 1645, 3.722, .165, .014, .274, .093, .093, 0
2012, OAK, AL, 75, 278, 262, 19, 57, 15, 0, 1, 18, 9, 53, 1, 0, 3, .218, .250, .286, .536, 278, 75, 106, 2, 2, .267, 16, 3, 32, 1052, 3.784, .191, .004, .170, .069, .069, 0
2012, WSH, NL, 43, 164, 146, 17, 39, 5, 0, 5, 25, 11, 20, 1, 0, 2, .267, .321, .404, .725, 164, 59, 72, 2, 3, .274, 10, 2, 27, 593, 3.616, .122, .030, .550, .137, .137, 0
2013, 2 Teams, 94, 316, 285, 25, 66, 13, 1, 5, 32, 22, 35, 2, 0, 3, .232, .290, .337, .627, 96, 110, 2, 4, .245, 19, 2, 39, 1224, 3.873, .111, .016, .629, .105, .105, 0
2013, WSH, NL, 79, 281, 252, 19, 56, 11, 1, 3, 25, 20, 32, 2, 0, 3, .222, .283, .310, .593, 281, 78, 102, 2, 4, .240, 15, 2, 32, 1101, 3.918, .114, .011, .625, .087, .087, 0
2013, OAK, AL, 15, 35, 33, 6, 10, 2, 0, 2, 7, 2, 3, 0, 0, 0, .303, .343, .545, .888, 35, 18, 8, 0, 0, .286, 4, 0, 7, 123, 3.514, .086, .057, .667, .242, .242, 0
2014, MIN, AL, 131, 503, 452, 37, 130, 34, 0, 3, 61, 34, 46, 0, 1, 9, .288, .345, .383, .727, 503, 173, 181, 1, 7, .310, 37, 9, 73, 1998, 3.972, .091, .006, .739, .095, .095, 0
2015, MIN, AL, 131, 479, 433, 36, 104, 17, 0, 5, 50, 29, 59, 0, 0, 7, .240, .296, .314, .610, 479, 136, 192, 6, 4, .265, 22, 14, 75, 1749, 3.651, .123, .010, .492, .074, .074, 1
2016, MIN, AL, 106, 373, 345, 34, 89, 24, 1, 8, 49, 18, 48, 0, 0, 5, .258, .301, .403, .704, 373, 139, 151, 1, 4, .276, 33, 9, 59, 1332, 3.571, .129, .021, .375, .145, .145, 0
2017, ATL, NL, 81, 309, 276, 38, 78, 13, 0, 19, 50, 17, 39, 0, 0, 13, .283, .351, .536, .887, 309, 148, 111, 1, 2, .268, 32, 5, 43, 1105, 3.576, .126, .061, .436, .254, .254, 1
2018, ATL, NL, 105, 388, 347, 45, 94, 24, 0, 12, 50, 22, 43, 0, 0, 13, .271, .332, .444, .776, 388, 154, 173, 0, 6, .275, 36, 6, 61, 1331, 3.430, .111, .031, .512, .173, .173, 0
2019, WSH, NL, 85, 309, 280, 37, 74, 11, 0, 17, 63, 20, 36, 0, 1, 6, .264, .324, .486, .809, 309, 136, 131, 0, 3, .248, 28, 10, 58, 1053, 3.408, .117, .055, .556, .221, .221, 1
2020, WSH, NL, 24, 97, 85, 12, 24, 7, 0, 1, 10, 7, 15, 0, 0, 3, .282, .351, .400, .750, 97, 34, 34, 0, 2, .324, 8, 4, 19, 349, 3.598, .155, .010, .467, .118, .118, 0
14 Seasons, 1503, 5725, 5179, 564, 1341, 282, 6, 132, 692, 356, 674, 19, 11, 105, .259, .316, .392, .708, 5725, 2031, 2268, 24, 61, .273, 420, 138, 886, 20931, 3.656, .118, .023, .528, .133, .133, 11
