Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2010, CHC, NL, 125, 506, 463, 53, 139, 31, 5, 3, 41, 29, 71, 10, 8, 6, .300, .347, .408, .755, 189, 161, 4, 4, .346, 39, 14, 72, 1839, 3.634, .140, .006, .408, .108, .108, 0
2011, CHC, NL, 158, 715, 674, 91, 207, 36, 9, 10, 66, 35, 96, 22, 9, 2, .307, .341, .432, .773, 291, 240, 0, 4, .344, 55, 20, 107, 2627, 3.674, .134, .014, .365, .125, .125, 1
2012, CHC, NL, 162, 691, 646, 78, 183, 29, 12, 14, 78, 36, 100, 25, 13, 4, .283, .323, .430, .753, 278, 260, 0, 5, .315, 55, 15, 108, 2389, 3.457, .145, .020, .360, .147, .147, 0
2013, CHC, NL, 161, 705, 666, 59, 163, 34, 2, 10, 44, 30, 129, 9, 6, 7, .245, .284, .347, .631, 231, 253, 1, 1, .290, 46, 21, 88, 2716, 3.852, .183, .014, .233, .102, .102, 1
2014, CHC, NL, 134, 569, 528, 58, 154, 33, 1, 14, 65, 35, 100, 4, 4, 4, .292, .339, .438, .777, 231, 204, 0, 2, .337, 48, 18, 89, 2122, 3.729, .176, .025, .350, .146, .146, 1
2015, CHC, NL, 151, 578, 547, 52, 145, 23, 2, 11, 69, 21, 91, 5, 5, 5, .265, .296, .375, .671, 205, 248, 1, 4, .298, 36, 18, 97, 2136, 3.696, .157, .019, .231, .110, .110, 3
2016, NYY, AL, 151, 610, 577, 63, 156, 29, 1, 21, 70, 24, 118, 4, 0, 3, .270, .300, .433, .734, 250, 228, 1, 5, .305, 51, 15, 85, 2251, 3.690, .193, .034, .203, .163, .163, 1
2017, NYY, AL, 112, 473, 443, 66, 133, 18, 1, 16, 63, 23, 93, 2, 0, 4, .300, .338, .454, .792, 201, 175, 0, 3, .347, 35, 9, 57, 1839, 3.888, .197, .034, .247, .153, .153, 0
2018, MIA, NL, 154, 647, 593, 76, 165, 32, 2, 12, 54, 48, 124, 6, 4, 0, .278, .329, .400, .729, 237, 236, 0, 6, .330, 46, 18, 92, 2417, 3.736, .192, .019, .387, .121, .121, 1
2019, MIA, NL, 162, 676, 636, 68, 172, 31, 4, 22, 86, 28, 111, 2, 2, 3, .270, .300, .436, .736, 277, 260, 0, 9, .293, 57, 23, 105, 2485, 3.676, .164, .033, .252, .165, .165, 0
2020, WSH, NL, 16, 63, 60, 9, 16, 3, 1, 2, 4, 3, 13, 0, 0, 0, .267, .302, .450, .752, 27, 26, 0, 0, .311, 6, 0, 9, 262, 4.159, .206, .032, .231, .183, .183, 0
11 Seasons, 1486, 6233, 5833, 673, 1633, 299, 40, 135, 640, 312, 1046, 89, 51, 38, .280, .319, .414, .733, 6233, 2417, 2291, 7, 43, .319, 474, 171, 909, 23083, 3.703, .168, .022, .298, .134, .134, 8
